Grant,Organization Name,Focus Area,Amount,Date,,,,,,,,,,,,,,
Schistosomiasis Control Initiative — General Support (2016),Schistosomiasis Control Initiative,Global Health & Development,1000000,1/1/2016,,,,,,,,,,,,,,
Deworm the World Initiative — General Support (January 2016),Evidence Action,Global Health & Development,10790000,1/1/2016,,,,,,,,,,,,,,
Against Malaria Foundation — General Support (January 2016),Against Malaria Foundation,Global Health & Development,22845518,1/1/2016,,,,,,,,,,,,,,
JustLeadershipUSA — Campaign to Close Rikers,JustLeadershipUSA,Criminal Justice Reform,900000,12/1/2015,,,,,,,,,,,,,,
ImmigrationWorks Foundation — General Support 2016,ImmigrationWorks Foundation,Immigration Policy,150000,12/1/2015,,,,,,,,,,,,,,
Center for Popular Democracy — Fed Up Campaign (2016),Center for Popular Democracy,Macroeconomic Stabilization Policy,1429000,12/1/2015,,,,,,,,,,,,,,
Development Media International — General Support (December 2015),Development Media International,Global Health & Development,250000,12/1/2015,,,,,,,,,,,,,,
Iodine Global Network — General Support (December 2015),Iodine Global Network,Global Health & Development,250000,12/1/2015,,,,,,,,,,,,,,
Living Goods — General Support (December 2015),Living Goods,Global Health & Development,250000,12/1/2015,,,,,,,,,,,,,,
MoveOn Civic Action — Syrian Refugee Advocacy,MoveOn.org Civic Action,Immigration Policy,375000,10/1/2015,,,,,,,,,,,,,,
Sightline Institute — Housing and Urban Development,Sightline Institute,Land Use Reform,400000,10/1/2015,,,,,,,,,,,,,,
Global Alliance for Improved Nutrition — General Support (October 2015),Global Alliance for Improved Nutrition,Global Health & Development,250000,10/1/2015,,,,,,,,,,,,,,
Niskanen Center — Research on Immigration Policy,Niskanen Center,Immigration Policy,360000,10/1/2015,,,,,,,,,,,,,,
Human Impact Partners — Criminal Justice Convening,Human Impact Partners,Criminal Justice Reform,60990,10/1/2015,,,,,,,,,,,,,,
J-PAL — Support for Immunization Incentives RCTs,Abdul Latif Jameel Poverty Action Lab,Global Health & Development,200000,9/1/2015,,,,,,,,,,,,,,
Urban Institute — Land Use Convening,Urban Institute,Land Use Reform,97865,9/1/2015,,,,,,,,,,,,,,
Georgetown University — Public Health and Cannabis Legalization,Georgetown University,U.S. Policy,250000,8/1/2015,,,,,,,,,,,,,,
WaitList Zero — General Support,WaitList Zero,U.S. Policy,200000,8/1/2015,,,,,,,,,,,,,,
ARNOVA — History of Philanthropy Prize,ARNOVA,History of Philanthropy,2000,8/1/2015,,,,,,,,,,,,,,
New York University — Support for a Labor Mobility RCT,New York University,Immigration Policy,30000,8/1/2015,,,,,,,,,,,,,,
Future of Life Institute — Artificial Intelligence Risk Reduction,Future of Life Institute ,Potential Risks from Advanced Artificial Intelligence,1186000,8/1/2015,,,,,,,,,,,,,,
Solar Radiation Management Governance Initiative — General Support,Solar Radiation Management Governance Initiative,Global Catastrophic Risks,500000,7/1/2015,,,,,,,,,,,,,,
Smart Growth America — Greater Greater Washington Education Project,Smart Growth America,Land Use Reform,275000,7/1/2015,,,,,,,,,,,,,,
GiveDirectly — General Support (June 2015),GiveDirectly,Global Health & Development,25000000,6/1/2015,,,,,,,,,,,,,,
Brookings Institution – Work on China and India,Brookings Institution,Other areas,100000,6/1/2015,,,,,,,,,,,,,,
Blue Ribbon Study Panel on Biodefense,Blue Ribbon Study Panel on Biodefense ,Biosecurity and Pandemic Preparedness,300000,4/1/2015,,,,,,,,,,,,,,
New York University — Work on Swift-and-Certain Sanctions,New York University,Criminal Justice Reform,80000,4/1/2015,,,,,,,,,,,,,,
Evidence Action — Seasonal Income Support Project,Evidence Action,Global Health & Development,170792,3/1/2015,,,,,,,,,,,,,,
New Incentives — General Support (2015),New Incentives,Global Health & Development,100000,3/1/2015,,,,,,,,,,,,,,
Carnegie Endowment for International Peace — Work on India and China,Carnegie Endowment for International Peace,Other areas,100000,3/1/2015,,,,,,,,,,,,,,
"ASUC — Effective Altruists of Berkeley ""DeCal"" University Course","Associated Students of the University of California, Berkeley",Other areas,10000,2/1/2015,,,,,,,,,,,,,,
Florida State University Project on Accountable Justice — General Support,FSU Project on Accountable Justice,Criminal Justice Reform,100000,2/1/2015,,,,,,,,,,,,,,
Center for Popular Democracy — Fed Up Campaign (2015),Center for Popular Democracy,Macroeconomic Stabilization Policy,750000,1/1/2015,,,,,,,,,,,,,,
"GiveWell — Top Charity ""Participation"" Grants (2015)",GiveWell,Global Health & Development,500000,1/1/2015,,,,,,,,,,,,,,
Deworm the World Initiative — General Support (December 2014),Evidence Action,Global Health & Development,250000,12/1/2014,,,,,,,,,,,,,,
Global Alliance for Improved Nutrition — General Support (December 2014),Global Alliance for Improved Nutrition,Global Health & Development,250000,12/1/2014,,,,,,,,,,,,,,
Iodine Global Network — General Support (December 2014),Iodine Global Network,Global Health & Development,250000,12/1/2014,,,,,,,,,,,,,,
Development Media International — General Support (December 2014),Development Media International,Global Health & Development,250000,12/1/2014,,,,,,,,,,,,,,
Against Malaria Foundation — General Support (December 2014),Against Malaria Foundation,Global Health & Development,5000000,12/1/2014,,,,,,,,,,,,,,
Living Goods — General Support (December 2014),Living Goods,Global Health & Development,250000,12/1/2014,,,,,,,,,,,,,,
GiveDirectly — General Support (December 2014),GiveDirectly,Global Health & Development,5000000,12/1/2014,,,,,,,,,,,,,,
Schistosomiasis Control Initiative — General Support (2014),Schistosomiasis Control Initiative,Global Health & Development,3000000,12/1/2014,,,,,,,,,,,,,,
IDinsight — Scaling Up a High-Potential Development Intervention,IDinsight,Global Health & Development,34382,9/1/2014,,,,,,,,,,,,,,
Center on Budget and Policy Priorities — Full Employment Project (2014),Center on Budget and Policy Priorities,Macroeconomic Stabilization Policy,335000,9/1/2014,,,,,,,,,,,,,,
Waitlist Zero — Planning Grant,Waitlist Zero,U.S. Policy,50000,9/1/2014,,,,,,,,,,,,,,
RAND Corporation — Research for Vermont,RAND Corporation,U.S. Policy,103000,8/1/2014,,,,,,,,,,,,,,
Rockefeller Archive Center: Workshop on the History of Philanthropy,Rockefeller Archive Center,History of Philanthropy,25000,8/1/2014,,,,,,,,,,,,,,
Center for Popular Democracy — Federal Reserve Campaign (2014),Center for Popular Democracy,Macroeconomic Stabilization Policy,100000,8/1/2014,,,,,,,,,,,,,,
ImmigrationWorks Foundation — General Support,ImmigrationWorks Foundation,Immigration Policy,285000,7/1/2014,,,,,,,,,,,,,,
Alliance for Open Society International: Albanian Renaissance,Alliance for Open Society International,Other areas,500000,7/1/2014,,,,,,,,,,,,,,
Pew Public Safety Performance Project,Pew Charitable Trusts,Criminal Justice Reform,3000000,7/1/2014,,,,,,,,,,,,,,
USAIM — Seasonal Migration from Haiti,U.S. Association for International Migration,Immigration Policy,1310483,7/1/2014,,,,,,,,,,,,,,
Pepperdine University — Washington THC Monitoring,Pepperdine University,U.S. Policy,150000,6/1/2014,,,,,,,,,,,,,,
Cochrane Collaboration — General Support,Cochrane Collaboration,Other areas,300000,6/1/2014,,,,,,,,,,,,,,
"GiveWell — Top Charity ""Participation"" Grants (2014)",GiveWell,Global Health & Development,500000,5/1/2014,,,,,,,,,,,,,,
Evidence Action — Planning for Future Programs,Evidence Action,Global Health & Development,250000,3/1/2014,,,,,,,,,,,,,,
Center for Global Development — Labor Mobility Research,Center for Global Development,Immigration Policy,1184720,3/1/2014,,,,,,,,,,,,,,
Service Delivery Indicators Project,International Development Association,Other areas,500000,3/1/2014,,,,,,,,,,,,,,
New Incentives — General Support (2014),New Incentives,Global Health & Development,100000,1/1/2014,,,,,,,,,,,,,,
GiveDirectly — General Support (January 2014),GiveDirectly,Global Health & Development,7000000,1/1/2014,,,,,,,,,,,,,,
Schistosomiasis Control Initiative — General Support (2013),Schistosomiasis Control Initiative,Global Health & Development,750000,12/1/2013,,,,,,,,,,,,,,
Deworm the World Initiative — General Support (December 2013),Evidence Action,Global Health & Development,1500000,12/1/2013,,,,,,,,,,,,,,
BetaGov,Pepperdine University,Criminal Justice Reform,200000,12/1/2013,,,,,,,,,,,,,,
"Research on Crime, Incarceration and Cannabis Regulation",Washington Office on Latin America,Criminal Justice Reform,245000,12/1/2013,,,,,,,,,,,,,,
Center for Global Development — General Support,Center for Global Development,Global Health & Development,300000,7/1/2013,,,,,,,,,,,,,,
Update to Millions Saved Project,Center for Global Development,History of Philanthropy,50000,6/1/2013,,,,,,,,,,,,,,
GiveDirectly — General Support (December 2012),GiveDirectly,Global Health & Development,500000,12/1/2012,,,,,,,,,,,,,,
Schistosomiasis Control Initiative — General Support (2012),Schistosomiasis Control Initiative,Global Health & Development,250000,12/1/2012,,,,,,,,,,,,,,
Against Malaria Foundation — General Support (December 2012),Against Malaria Foundation,Global Health & Development,1250000,12/1/2012,,,,,,,,,,,,,,
Containment of Artemisinin Resistance in Eastern Myanmar,Population Services International,Other areas,1000000,8/1/2012,,,,,,,,,,,,,,
US Cochrane Center — General Support,United States Cochrane Center,Other areas,100000,7/1/2012,,,,,,,,,,,,,,
